,LOCATION,TIME,A0101,A0102,A0103,A0104,A0105,A0106,A0107,A0108,A0109,A0110,A0111,A0112,Value
72,Belgium,2006,5056.87482625,1781.5071740416668,1957.4496045833332,9702.851999333334,2423.13428375,7108.380125,5147.788307875,1087.98535375,4449.009306416667,4239.54180125,2260.633767916667,8261.816276,110.0
73,Belgium,2007,5181.451467083333,1784.0946752916668,2093.7501583333333,10000.060947791668,2604.48908,6910.737209166667,5330.211410041667,1125.55402375,4626.8960533750005,4411.216981250001,2377.7360808333333,8808.39314125,117.0
74,Belgium,2008,5501.50014875,1784.7537902083334,2059.8452229166664,10639.826115708334,2699.8013100000003,7409.566965000001,5500.181063166667,1115.14917625,4670.817665458333,4546.421435833333,2453.502465416667,8862.204490833334,120.0
75,Belgium,2009,5571.561842083333,1846.3887995416665,1993.9524920833335,10517.068141458332,2742.5078641666664,7807.583532083333,5230.306516375,1123.1457279166666,4671.93176125,4640.996551666666,2408.3500154166663,8591.115590416666,117.0
76,Belgium,2010,5690.103572083332,1964.9212821666667,2033.2072125000002,11045.472162958335,2966.0226158333335,8315.278497916666,5633.836792083333,1069.459605,4878.209657666667,4829.0402979166665,2527.02433625,9226.831934166667,109.0
77,Belgium,2011,5890.273395416666,1959.6629485416668,2165.8654120833335,11401.212408166668,3074.64345625,8647.911768333333,5940.8670133333335,1056.9717466666666,5103.5968865,4998.357495,2677.1248499999997,9675.961506666667,111.0
78,Belgium,2012,6238.45636625,2059.55945975,2301.607877916667,12141.775842333334,3136.8151125,8961.876357083334,5918.638582250001,1143.8674025,5151.326244791667,5222.6532925,2766.59622,9776.065492083333,105.0
79,Belgium,2013,6491.221000833334,2161.5328886666666,2328.337989166667,12496.329628958332,3097.6769966666666,9791.497654166667,6116.296826500001,1125.9809908333334,5112.035807166667,5390.0346104166665,2873.6247595833333,9722.979379999999,109.0
80,Belgium,2014,6737.907044166666,2304.8662316249997,2370.16893125,12491.893888291668,3135.065525416667,10166.094058333334,6075.059505291666,1108.2137879166667,5120.373006,5490.946770833333,3006.76275,10193.750471666666,110.0
81,Belgium,2015,6980.7362025,2414.91674225,2393.9589720833333,12997.93643075,3276.861444583333,10785.077737708334,5943.273905791666,1142.99833375,5225.445430541667,5655.5086037500005,3185.4547254166664,10611.01313875,101.0
